family,metric,comparator,orientation,pairs,wins,ties,losses,mean_oriented_difference,median_oriented_difference,median_ci_low,median_ci_high,rank_biserial,p_value,p_holm,significant_0_05
first_bug,clustered_first,quickcheck,positive_means_pdrs_better,300,208,13,79,101.64333333333333,54.0,44.48750000000001,64.5,0.5963269454123112,2.0092558134083293e-18,2.812958138771661e-17,True
first_bug,interaction_first,quickcheck,positive_means_pdrs_better,300,99,14,187,-30.916666666666668,-12.0,-19.0,-6.0,-0.31514826636777854,3.84056351360995e-06,3.8405635136099505e-05,True
throughput_exploratory,source_objects_per_s,quickcheck,positive_means_pdrs_better,300,0,0,300,-4713639.946726037,-4663061.099961836,-4834010.087850058,-4605531.692117655,-1.0,6.068353545970338e-51,3.034176772985169e-50,True
uniformity,object_total_variation,feat,positive_means_pdrs_better,15,0,15,0,-1.8503717077085942e-18,0.0,0.0,0.0,0.0,1.0,1.0,False
uniformity,branch_total_variation,feat,positive_means_pdrs_better,15,3,7,5,-0.0004410587372732529,0.0,-0.0014358974358974416,0.0,-0.4444444444444444,0.3125,0.625,False
uniformity,object_total_variation,smallcheck,positive_means_pdrs_better,15,15,0,0,0.4979250663412783,0.5361757105943152,0.4645406546080966,0.6117482014388488,1.0,6.103515625e-05,0.0006103515625,True
uniformity,branch_total_variation,smallcheck,positive_means_pdrs_better,15,12,3,0,0.26740499834433074,0.26546666666666663,0.09651151079136691,0.46399999999999997,1.0,0.00048828125,0.00341796875,True
uniformity,object_total_variation,hypothesis,positive_means_pdrs_better,15,15,0,0,0.20723413137898522,0.21953944020356236,0.1844467625899281,0.2779390180878553,1.0,6.103515625e-05,0.0006103515625,True
uniformity,branch_total_variation,hypothesis,positive_means_pdrs_better,15,12,3,0,0.18319163108394057,0.15389806201550388,0.09651151079136691,0.26526666666666665,1.0,0.00048828125,0.00341796875,True
uniformity,object_total_variation,grammarinator,positive_means_pdrs_better,15,13,0,2,0.10095146561201043,0.07940521628498731,0.04860575539568346,0.15303397435897434,0.8833333333333333,0.00115966796875,0.00347900390625,True
uniformity,branch_total_variation,grammarinator,positive_means_pdrs_better,15,12,3,0,0.2298116650109974,0.24686666666666665,0.09651151079136691,0.3645,1.0,0.00048828125,0.00341796875,True
uniformity,object_total_variation,quickcheck,positive_means_pdrs_better,15,15,0,0,0.31289421256153316,0.3110530534351145,0.20432692307692313,0.4621322136089578,1.0,6.103515625e-05,0.0006103515625,True
uniformity,branch_total_variation,quickcheck,positive_means_pdrs_better,15,12,3,0,0.4662282977506073,0.5672666666666666,0.4667432569974555,0.635,1.0,0.00048828125,0.00341796875,True
parallel_overlap,overlap_fraction,feat,positive_means_pdrs_better,5,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
parallel_overlap,overlap_fraction,smallcheck,positive_means_pdrs_better,5,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
parallel_overlap,overlap_fraction,hypothesis,positive_means_pdrs_better,5,5,0,0,0.4387,0.4525,0.2745,0.561,1.0,0.0625,0.3125,False
parallel_overlap,overlap_fraction,grammarinator,positive_means_pdrs_better,5,5,0,0,0.3742,0.373,0.241,0.516,1.0,0.0625,0.3125,False
parallel_overlap,overlap_fraction,quickcheck,positive_means_pdrs_better,5,5,0,0,0.3200130566705115,0.2932330827067669,0.23542116630669546,0.40668523676880225,1.0,0.0625,0.3125,False
exact_throughput_exploratory,objects_per_s,feat,positive_means_pdrs_better,5,0,0,5,-1369953.4155354307,-1650952.2863930175,-1710918.0582224536,-484418.08049797453,-1.0,0.0625,0.125,False
exact_throughput_exploratory,objects_per_s,smallcheck,positive_means_pdrs_better,5,5,0,0,326254.053408642,320366.2016778036,222153.0791603816,419060.92995731125,1.0,0.0625,0.125,False
