schema,input_bit,plaintext_rank,cipher_hamming_fraction,tweak_hamming_fraction
permit,7,2432,0.25,0.5
permit,11,79,0.5,0.5833333333333334
permit,7,1492,0.5,0.75
permit,10,2243,0.3333333333333333,0.5833333333333334
permit,5,688,0.4166666666666667,0.4166666666666667
permit,2,3990,0.5833333333333334,0.4166666666666667
permit,3,2089,0.25,0.4166666666666667
permit,8,3547,0.6666666666666666,0.5
permit,2,33,0.6666666666666666,0.4166666666666667
permit,9,3794,0.5,0.6666666666666666
permit,6,594,0.4166666666666667,0.3333333333333333
permit,1,1730,0.5,0.5
permit,1,225,0.6666666666666666,0.6666666666666666
permit,6,1760,0.6666666666666666,0.75
permit,4,3396,0.75,0.3333333333333333
permit,6,3923,0.5,0.5833333333333334
permit,3,737,0.5,0.5833333333333334
permit,8,305,0.4166666666666667,0.3333333333333333
permit,0,2073,0.25,0.5833333333333334
permit,2,3683,0.4166666666666667,0.5833333333333334
permit,3,1097,0.16666666666666666,0.6666666666666666
permit,3,1937,0.5,0.3333333333333333
permit,5,1871,0.6666666666666666,0.5833333333333334
permit,4,1189,0.6666666666666666,0.5
permit,7,2620,0.5833333333333334,0.6666666666666666
permit,8,2500,0.5,0.4166666666666667
permit,1,3814,0.4166666666666667,0.6666666666666666
permit,11,1557,0.5833333333333334,0.75
permit,11,3996,0.5833333333333334,0.5833333333333334
permit,1,2220,0.5,0.3333333333333333
permit,6,2288,0.5,0.6666666666666666
permit,2,2490,0.5833333333333334,0.8333333333333334
permit,11,2788,0.5833333333333334,0.4166666666666667
permit,8,915,0.5,0.3333333333333333
permit,3,2773,0.4166666666666667,0.3333333333333333
permit,2,3836,0.4166666666666667,0.6666666666666666
permit,1,3320,0.6666666666666666,0.4166666666666667
permit,8,137,0.3333333333333333,0.6666666666666666
permit,3,3810,0.4166666666666667,0.5
permit,4,2145,0.4166666666666667,0.16666666666666666
permit,0,3126,0.5,0.6666666666666666
permit,4,2074,0.8333333333333334,0.6666666666666666
permit,2,3928,0.5,0.6666666666666666
permit,9,1419,0.5,0.3333333333333333
permit,7,23,0.4166666666666667,0.6666666666666666
permit,2,1373,0.8333333333333334,0.6666666666666666
permit,4,464,0.5,0.8333333333333334
permit,4,1127,0.5,0.6666666666666666
permit,11,693,0.6666666666666666,0.6666666666666666
permit,8,3268,0.5833333333333334,0.5833333333333334
permit,4,1323,0.5833333333333334,0.5
permit,5,923,0.3333333333333333,0.5
permit,7,2858,0.5,0.4166666666666667
permit,6,921,0.3333333333333333,0.25
permit,3,2936,0.3333333333333333,0.75
permit,0,1884,0.25,0.4166666666666667
permit,11,721,0.6666666666666666,0.3333333333333333
permit,3,1234,0.3333333333333333,0.5
permit,2,3001,0.5833333333333334,0.4166666666666667
permit,2,3155,0.08333333333333333,0.75
permit,3,136,0.5833333333333334,0.5
permit,0,860,0.3333333333333333,0.4166666666666667
permit,8,611,0.4166666666666667,0.4166666666666667
permit,9,3416,0.4166666666666667,0.25
permit,5,1085,0.5,0.5833333333333334
permit,5,915,0.6666666666666666,0.3333333333333333
permit,7,501,0.6666666666666666,0.25
permit,3,3619,0.6666666666666666,0.5833333333333334
permit,11,3750,0.75,0.75
permit,7,2024,0.5,0.5
permit,1,382,0.4166666666666667,0.5
permit,2,3579,0.4166666666666667,0.8333333333333334
permit,8,122,0.4166666666666667,0.4166666666666667
permit,11,2997,0.5833333333333334,0.4166666666666667
permit,8,274,0.6666666666666666,0.5833333333333334
permit,3,2318,0.4166666666666667,0.4166666666666667
permit,3,2562,0.5,0.16666666666666666
permit,7,3310,0.4166666666666667,0.4166666666666667
permit,5,555,0.3333333333333333,0.75
permit,7,1381,0.5,0.4166666666666667
permit,10,1956,0.3333333333333333,0.3333333333333333
permit,2,753,0.16666666666666666,0.5833333333333334
permit,1,3488,0.6666666666666666,0.6666666666666666
permit,10,2094,0.4166666666666667,0.5833333333333334
permit,11,1405,0.4166666666666667,0.5
permit,3,1671,0.5,0.3333333333333333
permit,2,3230,0.5,0.5
permit,1,11,0.3333333333333333,0.6666666666666666
permit,7,3677,0.75,0.5
permit,1,3172,0.4166666666666667,0.4166666666666667
permit,8,2119,0.5833333333333334,0.4166666666666667
permit,7,437,0.5,0.4166666666666667
permit,7,593,0.8333333333333334,0.6666666666666666
permit,2,3880,0.3333333333333333,0.4166666666666667
permit,0,1973,0.4166666666666667,0.5
permit,10,558,0.3333333333333333,0.4166666666666667
permit,11,1183,0.3333333333333333,0.5
permit,2,910,0.5,0.3333333333333333
permit,8,1434,0.4166666666666667,0.5833333333333334
permit,3,729,0.5833333333333334,0.5
permit,9,871,0.5,0.5
permit,1,495,0.6666666666666666,0.3333333333333333
permit,0,1762,0.4166666666666667,0.3333333333333333
permit,7,1610,0.5,0.5
permit,0,1494,0.4166666666666667,0.3333333333333333
permit,9,715,0.5,0.5
permit,2,476,0.16666666666666666,0.6666666666666666
permit,1,1822,0.3333333333333333,0.4166666666666667
permit,6,3752,0.16666666666666666,0.5833333333333334
permit,7,633,0.5833333333333334,0.75
permit,7,2479,0.5833333333333334,0.5833333333333334
permit,6,30,0.5,0.3333333333333333
permit,11,1261,0.75,0.25
permit,9,79,0.5,0.5833333333333334
permit,10,2018,0.4166666666666667,0.3333333333333333
permit,1,2852,0.5,0.08333333333333333
permit,1,2638,0.4166666666666667,0.5
permit,11,2117,0.3333333333333333,0.4166666666666667
permit,6,3155,0.5833333333333334,0.75
permit,6,679,0.4166666666666667,0.5
permit,8,3028,0.5,0.3333333333333333
permit,0,2382,0.3333333333333333,0.4166666666666667
permit,11,308,0.3333333333333333,0.5833333333333334
permit,1,1776,0.5,0.3333333333333333
permit,6,2645,0.4166666666666667,0.3333333333333333
permit,1,1979,0.5,0.5
permit,3,3169,0.75,0.6666666666666666
permit,7,2122,0.5,0.5
permit,5,979,0.3333333333333333,0.4166666666666667
permit,0,3391,0.3333333333333333,0.25
permit,3,1288,0.3333333333333333,0.5
permit,2,934,0.5833333333333334,0.6666666666666666
permit,5,437,0.16666666666666666,0.4166666666666667
permit,10,1278,0.4166666666666667,0.6666666666666666
permit,3,3470,0.6666666666666666,0.75
permit,5,2556,0.5,0.5833333333333334
permit,2,654,0.5833333333333334,0.5
permit,8,793,0.3333333333333333,0.5
permit,4,1769,0.5833333333333334,0.6666666666666666
permit,2,1943,0.5,0.5
permit,7,742,0.5,0.4166666666666667
permit,3,2015,0.6666666666666666,0.75
permit,7,1244,0.5833333333333334,0.6666666666666666
permit,8,2693,0.9166666666666666,0.6666666666666666
permit,9,790,0.5833333333333334,0.3333333333333333
permit,11,1444,0.5,0.5833333333333334
permit,1,2209,0.5,0.6666666666666666
permit,7,2463,0.75,0.25
permit,6,3389,0.3333333333333333,0.75
permit,1,1715,0.4166666666666667,0.5833333333333334
permit,8,433,0.5833333333333334,0.6666666666666666
permit,2,3783,0.5,0.3333333333333333
permit,0,184,0.5833333333333334,0.5
permit,7,2506,0.5833333333333334,0.5
permit,10,2128,0.3333333333333333,0.6666666666666666
permit,10,1913,0.75,0.3333333333333333
permit,3,848,0.5,0.6666666666666666
permit,3,3942,0.3333333333333333,0.3333333333333333
permit,0,3406,0.5833333333333334,0.5
permit,11,1902,0.5,0.6666666666666666
permit,4,3581,0.16666666666666666,0.4166666666666667
permit,3,2950,0.75,0.5833333333333334
permit,7,31,0.5,0.4166666666666667
permit,8,925,0.5833333333333334,0.5833333333333334
permit,8,1273,0.5,0.5833333333333334
permit,11,2459,0.5,0.75
permit,2,270,0.6666666666666666,0.75
permit,6,528,0.6666666666666666,0.5833333333333334
permit,9,3431,0.5,0.3333333333333333
permit,2,2813,0.3333333333333333,0.25
permit,0,3911,0.75,0.4166666666666667
permit,7,296,0.4166666666666667,0.5
permit,1,3642,0.3333333333333333,0.4166666666666667
permit,5,2728,0.5833333333333334,0.5
permit,10,3833,0.4166666666666667,0.4166666666666667
permit,6,751,0.25,0.75
permit,2,2213,0.6666666666666666,0.6666666666666666
permit,5,235,0.6666666666666666,0.6666666666666666
permit,6,3458,0.4166666666666667,0.5833333333333334
permit,10,3965,0.25,0.5833333333333334
permit,5,1452,0.6666666666666666,0.6666666666666666
permit,9,2920,0.5833333333333334,0.75
permit,8,1717,0.75,0.75
permit,7,3491,0.4166666666666667,0.5
permit,11,2155,0.75,0.5
permit,9,609,0.5,0.75
permit,9,3599,0.4166666666666667,0.75
permit,2,2663,0.4166666666666667,0.4166666666666667
permit,1,160,0.4166666666666667,0.4166666666666667
permit,7,462,0.4166666666666667,0.5833333333333334
permit,1,1079,0.4166666666666667,0.5833333333333334
permit,3,2265,0.4166666666666667,0.5833333333333334
permit,0,226,0.4166666666666667,0.5833333333333334
permit,8,3001,0.6666666666666666,0.4166666666666667
permit,2,3162,0.3333333333333333,0.4166666666666667
permit,3,110,0.6666666666666666,0.4166666666666667
permit,3,2613,0.5833333333333334,0.6666666666666666
permit,11,3249,0.25,0.4166666666666667
permit,3,1465,0.5,0.4166666666666667
permit,2,3383,0.5833333333333334,0.5833333333333334
permit,8,3501,0.5833333333333334,0.4166666666666667
permit,6,1319,0.5833333333333334,0.9166666666666666
permit,7,3293,0.75,0.5833333333333334
permit,6,1576,0.5833333333333334,0.5833333333333334
permit,4,3931,0.5,0.5833333333333334
permit,11,1485,0.3333333333333333,0.3333333333333333
permit,10,3844,0.4166666666666667,0.5833333333333334
permit,5,625,0.3333333333333333,0.4166666666666667
permit,4,3747,0.4166666666666667,0.5
permit,6,2040,0.5,0.25
permit,9,1159,0.4166666666666667,0.5833333333333334
permit,11,1686,0.5833333333333334,0.5
permit,9,692,0.5,0.5
permit,8,1173,0.6666666666666666,0.4166666666666667
permit,8,2916,0.5,0.3333333333333333
permit,7,736,0.25,0.4166666666666667
permit,10,872,0.5833333333333334,0.3333333333333333
permit,0,3593,0.6666666666666666,0.8333333333333334
permit,1,2273,0.5,0.6666666666666666
permit,2,2940,0.4166666666666667,0.4166666666666667
permit,4,1002,0.5833333333333334,0.5833333333333334
permit,6,673,0.3333333333333333,0.4166666666666667
permit,1,2783,0.4166666666666667,0.5
permit,4,2077,0.5,0.5
permit,4,725,0.4166666666666667,0.4166666666666667
permit,1,689,0.75,0.16666666666666666
permit,11,1313,0.5,0.5833333333333334
permit,0,2354,0.75,0.4166666666666667
permit,2,2683,0.5,0.5833333333333334
permit,8,534,0.5,0.4166666666666667
permit,11,2453,0.3333333333333333,0.4166666666666667
permit,6,865,0.5833333333333334,0.3333333333333333
permit,0,2347,0.4166666666666667,0.4166666666666667
permit,5,3889,0.5833333333333334,0.5
permit,3,2808,0.3333333333333333,0.3333333333333333
permit,11,1905,0.75,0.5833333333333334
permit,10,3917,0.5833333333333334,0.4166666666666667
permit,3,3110,0.4166666666666667,0.25
permit,8,1258,0.3333333333333333,0.6666666666666666
permit,1,2819,0.4166666666666667,0.75
permit,8,1809,0.5833333333333334,0.25
permit,5,3897,0.5833333333333334,0.5833333333333334
permit,0,623,0.5,0.5833333333333334
permit,7,2854,0.5833333333333334,0.6666666666666666
permit,11,3063,0.4166666666666667,0.3333333333333333
permit,0,1342,0.4166666666666667,0.5
permit,1,61,0.5833333333333334,0.4166666666666667
permit,4,1104,0.6666666666666666,0.25
