rank,message,mutation,lxml_valid,xmlschema_valid,validators_agree
921184,pain.001.001.13,wrong_namespace,False,False,True
1873274,pain.001.001.13,missing_msg_id,False,False,True
1873274,pain.001.001.13,invalid_currency,False,False,True
1873274,pain.001.001.13,negative_amount,False,False,True
1873274,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1873274,pain.001.001.13,wrong_namespace,False,False,True
3321218,pain.001.001.13,missing_msg_id,False,False,True
3321218,pain.001.001.13,invalid_currency,False,False,True
3321218,pain.001.001.13,negative_amount,False,False,True
3321218,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3321218,pain.001.001.13,wrong_namespace,False,False,True
2405813,pain.001.001.13,missing_msg_id,False,False,True
2405813,pain.001.001.13,invalid_currency,False,False,True
2405813,pain.001.001.13,negative_amount,False,False,True
2405813,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2405813,pain.001.001.13,wrong_namespace,False,False,True
3622599,pain.001.001.13,missing_msg_id,False,False,True
3622599,pain.001.001.13,invalid_currency,False,False,True
3622599,pain.001.001.13,negative_amount,False,False,True
3622599,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3622599,pain.001.001.13,wrong_namespace,False,False,True
3314734,pain.001.001.13,missing_msg_id,False,False,True
3314734,pain.001.001.13,invalid_currency,False,False,True
3314734,pain.001.001.13,negative_amount,False,False,True
3314734,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3314734,pain.001.001.13,wrong_namespace,False,False,True
2219378,pain.001.001.13,missing_msg_id,False,False,True
2219378,pain.001.001.13,invalid_currency,False,False,True
2219378,pain.001.001.13,negative_amount,False,False,True
2219378,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2219378,pain.001.001.13,wrong_namespace,False,False,True
1785290,pain.001.001.13,missing_msg_id,False,False,True
1785290,pain.001.001.13,invalid_currency,False,False,True
1785290,pain.001.001.13,negative_amount,False,False,True
1785290,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1785290,pain.001.001.13,wrong_namespace,False,False,True
4057310,pacs.008.001.14,missing_msg_id,False,False,True
4057310,pacs.008.001.14,invalid_currency,False,False,True
4057310,pacs.008.001.14,negative_amount,False,False,True
4057310,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4057310,pacs.008.001.14,wrong_namespace,False,False,True
2552170,pain.001.001.13,missing_msg_id,False,False,True
2552170,pain.001.001.13,invalid_currency,False,False,True
2552170,pain.001.001.13,negative_amount,False,False,True
2552170,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2552170,pain.001.001.13,wrong_namespace,False,False,True
3484846,pain.001.001.13,missing_msg_id,False,False,True
3484846,pain.001.001.13,invalid_currency,False,False,True
3484846,pain.001.001.13,negative_amount,False,False,True
3484846,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3484846,pain.001.001.13,wrong_namespace,False,False,True
496797,pain.001.001.13,missing_msg_id,False,False,True
496797,pain.001.001.13,invalid_currency,False,False,True
496797,pain.001.001.13,negative_amount,False,False,True
496797,pain.001.001.13,duplicate_nb_of_txs,False,False,True
496797,pain.001.001.13,wrong_namespace,False,False,True
2858330,pain.001.001.13,missing_msg_id,False,False,True
2858330,pain.001.001.13,invalid_currency,False,False,True
2858330,pain.001.001.13,negative_amount,False,False,True
2858330,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2858330,pain.001.001.13,wrong_namespace,False,False,True
2876668,pain.001.001.13,missing_msg_id,False,False,True
2876668,pain.001.001.13,invalid_currency,False,False,True
2876668,pain.001.001.13,negative_amount,False,False,True
2876668,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2876668,pain.001.001.13,wrong_namespace,False,False,True
4268612,pacs.008.001.14,missing_msg_id,False,False,True
4268612,pacs.008.001.14,invalid_currency,False,False,True
4268612,pacs.008.001.14,negative_amount,False,False,True
4268612,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4268612,pacs.008.001.14,wrong_namespace,False,False,True
1159590,pain.001.001.13,missing_msg_id,False,False,True
1159590,pain.001.001.13,invalid_currency,False,False,True
1159590,pain.001.001.13,negative_amount,False,False,True
1159590,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1159590,pain.001.001.13,wrong_namespace,False,False,True
685472,pain.001.001.13,missing_msg_id,False,False,True
685472,pain.001.001.13,invalid_currency,False,False,True
685472,pain.001.001.13,negative_amount,False,False,True
685472,pain.001.001.13,duplicate_nb_of_txs,False,False,True
685472,pain.001.001.13,wrong_namespace,False,False,True
567183,pain.001.001.13,missing_msg_id,False,False,True
567183,pain.001.001.13,invalid_currency,False,False,True
567183,pain.001.001.13,negative_amount,False,False,True
567183,pain.001.001.13,duplicate_nb_of_txs,False,False,True
567183,pain.001.001.13,wrong_namespace,False,False,True
4224426,pacs.008.001.14,missing_msg_id,False,False,True
4224426,pacs.008.001.14,invalid_currency,False,False,True
4224426,pacs.008.001.14,negative_amount,False,False,True
4224426,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4224426,pacs.008.001.14,wrong_namespace,False,False,True
