method,domain,repetition,budget,produced,valid,validity_rate,unique,unique_rate,duplicates,branch_coverage,elapsed_s,objects_per_s,uniform_bugs,uniform_first,rare_branch_bugs,rare_branch_first,boundary_bugs,boundary_first,clustered_bugs,clustered_first,interaction_bugs,interaction_first,source_budget,source_elapsed_s,source_objects_per_s
feat,balanced_product,4,500,500,500,1.0,500,1.0,0,1.0,0.00033683999999567504,1484384.277420793,9,87,4,16,3,16,8,13,3,86,1000,0.00033683999999567504,2968768.554841586
feat,balanced_product,4,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033683999999567504,2968768.554841586,18,87,12,16,12,16,18,13,12,86,1000,0.00033683999999567504,2968768.554841586
feat,balanced_product,5,100,100,100,1.0,100,1.0,0,1.0,0.0003544330000053719,282140.7713121644,0,101,1,58,2,17,1,54,0,101,1000,0.0003544330000053719,2821407.7131216438
feat,balanced_product,5,500,500,500,1.0,500,1.0,0,1.0,0.0003544330000053719,1410703.8565608219,8,105,8,58,8,17,6,54,9,123,1000,0.0003544330000053719,2821407.7131216438
feat,balanced_product,5,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003544330000053719,2821407.7131216438,13,105,14,58,16,17,16,54,15,123,1000,0.0003544330000053719,2821407.7131216438
feat,balanced_product,6,100,100,100,1.0,100,1.0,0,1.0,0.0003168129999977509,315643.6131115513,2,32,1,91,1,91,2,83,2,1,1000,0.0003168129999977509,3156436.1311155134
feat,balanced_product,6,500,500,500,1.0,500,1.0,0,1.0,0.0003168129999977509,1578218.0655577567,4,32,6,91,3,91,5,83,7,1,1000,0.0003168129999977509,3156436.1311155134
feat,balanced_product,6,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003168129999977509,3156436.1311155134,15,32,11,91,12,91,14,83,17,1,1000,0.0003168129999977509,3156436.1311155134
feat,balanced_product,7,100,100,100,1.0,100,1.0,0,1.0,0.0003326319999956695,300632.53084881156,3,31,2,29,2,29,2,31,1,40,1000,0.0003326319999956695,3006325.3084881157
feat,balanced_product,7,500,500,500,1.0,500,1.0,0,1.0,0.0003326319999956695,1503162.6542440578,12,31,6,29,6,29,14,31,8,40,1000,0.0003326319999956695,3006325.3084881157
feat,balanced_product,7,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003326319999956695,3006325.3084881157,20,31,17,29,13,29,20,31,10,40,1000,0.0003326319999956695,3006325.3084881157
feat,balanced_product,8,100,100,100,1.0,100,1.0,0,1.0,0.0003205300000033162,311983.2776930877,2,3,0,101,0,101,0,101,4,5,1000,0.0003205300000033162,3119832.776930877
feat,balanced_product,8,500,500,500,1.0,500,1.0,0,1.0,0.0003205300000033162,1559916.3884654385,8,3,4,203,6,198,6,111,6,5,1000,0.0003205300000033162,3119832.776930877
feat,balanced_product,8,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003205300000033162,3119832.776930877,15,3,12,203,14,198,15,111,10,5,1000,0.0003205300000033162,3119832.776930877
feat,balanced_product,9,100,100,100,1.0,100,1.0,0,1.0,0.00031644100000249864,316014.6757190452,1,13,0,101,0,101,1,48,1,58,1000,0.00031644100000249864,3160146.7571904524
feat,balanced_product,9,500,500,500,1.0,500,1.0,0,1.0,0.00031644100000249864,1580073.3785952262,10,13,8,153,11,143,5,48,5,58,1000,0.00031644100000249864,3160146.7571904524
feat,balanced_product,9,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00031644100000249864,3160146.7571904524,18,13,15,153,20,143,15,48,13,58,1000,0.00031644100000249864,3160146.7571904524
feat,balanced_product,10,100,100,100,1.0,100,1.0,0,1.0,0.0003249280000048316,307760.488472871,0,101,1,38,5,24,2,74,0,101,1000,0.0003249280000048316,3077604.88472871
feat,balanced_product,10,500,500,500,1.0,500,1.0,0,1.0,0.0003249280000048316,1538802.442364355,9,119,6,38,8,24,9,74,8,120,1000,0.0003249280000048316,3077604.88472871
feat,balanced_product,10,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003249280000048316,3077604.88472871,18,119,14,38,15,24,17,74,17,120,1000,0.0003249280000048316,3077604.88472871
feat,balanced_product,11,100,100,100,1.0,100,1.0,0,1.0,0.00033055800000170166,302518.7712882012,0,101,3,15,3,30,2,32,0,101,1000,0.00033055800000170166,3025187.712882012
feat,balanced_product,11,500,500,500,1.0,500,1.0,0,1.0,0.00033055800000170166,1512593.856441006,9,108,8,15,8,30,9,32,6,148,1000,0.00033055800000170166,3025187.712882012
feat,balanced_product,11,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033055800000170166,3025187.712882012,14,108,21,15,16,30,17,32,16,148,1000,0.00033055800000170166,3025187.712882012
feat,balanced_product,12,100,100,100,1.0,100,1.0,0,1.0,0.0003322519999997553,300976.36733585846,0,101,0,101,2,28,0,101,0,101,1000,0.0003322519999997553,3009763.6733585848
feat,balanced_product,12,500,500,500,1.0,500,1.0,0,1.0,0.0003322519999997553,1504881.8366792924,7,101,3,193,5,28,5,239,5,107,1000,0.0003322519999997553,3009763.6733585848
feat,balanced_product,12,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003322519999997553,3009763.6733585848,15,101,9,193,10,28,12,239,14,107,1000,0.0003322519999997553,3009763.6733585848
feat,balanced_product,13,100,100,100,1.0,100,1.0,0,1.0,0.00032019900000079815,312305.7848392741,3,1,3,7,3,7,0,101,0,101,1000,0.00032019900000079815,3123057.8483927413
feat,balanced_product,13,500,500,500,1.0,500,1.0,0,1.0,0.00032019900000079815,1561528.9241963706,7,1,6,7,8,7,7,116,8,118,1000,0.00032019900000079815,3123057.8483927413
feat,balanced_product,13,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032019900000079815,3123057.8483927413,18,1,14,7,17,7,19,116,18,118,1000,0.00032019900000079815,3123057.8483927413
feat,balanced_product,14,100,100,100,1.0,100,1.0,0,1.0,0.000317483999999979,314976.5027529155,0,101,1,81,1,81,3,58,0,101,1000,0.000317483999999979,3149765.0275291544
feat,balanced_product,14,500,500,500,1.0,500,1.0,0,1.0,0.000317483999999979,1574882.5137645772,5,218,8,81,6,81,8,58,3,181,1000,0.000317483999999979,3149765.0275291544
feat,balanced_product,14,1000,1000,1000,1.0,1000,1.0,0,1.0,0.000317483999999979,3149765.0275291544,14,218,15,81,15,81,15,58,10,181,1000,0.000317483999999979,3149765.0275291544
feat,balanced_product,15,100,100,100,1.0,100,1.0,0,1.0,0.0003174130000047626,315046.9577443254,2,16,0,101,2,5,1,25,0,101,1000,0.0003174130000047626,3150469.577443254
feat,balanced_product,15,500,500,500,1.0,500,1.0,0,1.0,0.0003174130000047626,1575234.788721627,9,16,1,388,6,5,9,25,6,120,1000,0.0003174130000047626,3150469.577443254
feat,balanced_product,15,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003174130000047626,3150469.577443254,14,16,13,388,19,5,14,25,9,120,1000,0.0003174130000047626,3150469.577443254
feat,balanced_product,16,100,100,100,1.0,100,1.0,0,1.0,0.0003166320000005385,315824.0481057819,3,27,0,101,1,84,0,101,1,73,1000,0.0003166320000005385,3158240.481057819
feat,balanced_product,16,500,500,500,1.0,500,1.0,0,1.0,0.0003166320000005385,1579120.2405289095,10,27,10,167,11,84,9,121,4,73,1000,0.0003166320000005385,3158240.481057819
feat,balanced_product,16,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003166320000005385,3158240.481057819,20,27,20,167,15,84,16,121,14,73,1000,0.0003166320000005385,3158240.481057819
feat,balanced_product,17,100,100,100,1.0,100,1.0,0,1.0,0.00032808400000305937,304799.9902435581,3,52,1,58,1,58,0,101,1,60,1000,0.00032808400000305937,3047999.9024355807
feat,balanced_product,17,500,500,500,1.0,500,1.0,0,1.0,0.00032808400000305937,1523999.9512177904,8,52,7,58,10,58,5,115,8,60,1000,0.00032808400000305937,3047999.9024355807
feat,balanced_product,17,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032808400000305937,3047999.9024355807,19,52,19,58,18,58,15,115,18,60,1000,0.00032808400000305937,3047999.9024355807
feat,balanced_product,18,100,100,100,1.0,100,1.0,0,1.0,0.00033268299999633655,300586.4441558516,0,101,2,67,2,33,0,101,0,101,1000,0.00033268299999633655,3005864.441558516
feat,balanced_product,18,500,500,500,1.0,500,1.0,0,1.0,0.00033268299999633655,1502932.220779258,7,149,9,67,8,33,6,127,5,216,1000,0.00033268299999633655,3005864.441558516
feat,balanced_product,18,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033268299999633655,3005864.441558516,12,149,14,67,14,33,15,127,16,216,1000,0.00033268299999633655,3005864.441558516
feat,balanced_product,19,100,100,100,1.0,100,1.0,0,1.0,0.0003210010000032071,311525.50926321384,1,26,0,101,0,101,0,101,3,18,1000,0.0003210010000032071,3115255.0926321386
feat,balanced_product,19,500,500,500,1.0,500,1.0,0,1.0,0.0003210010000032071,1557627.5463160693,11,26,6,112,8,112,9,223,6,18,1000,0.0003210010000032071,3115255.0926321386
feat,balanced_product,19,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003210010000032071,3115255.0926321386,21,26,11,112,16,112,21,223,13,18,1000,0.0003210010000032071,3115255.0926321386
feat,dependent_record,0,100,100,100,1.0,100,1.0,0,0.75,0.00038196099999510125,261806.83368533052,1,48,0,101,0,101,0,101,1,55,1000,0.00038196099999510125,2618068.336853305
feat,dependent_record,0,500,500,500,1.0,500,1.0,0,0.75,0.00038196099999510125,1309034.1684266524,2,48,0,501,1,352,3,131,2,55,1000,0.00038196099999510125,2618068.336853305
feat,dependent_record,0,1000,1000,1000,1.0,1000,1.0,0,0.75,0.00038196099999510125,2618068.336853305,5,48,0,1001,3,352,5,131,3,55,1000,0.00038196099999510125,2618068.336853305
feat,dependent_record,1,100,100,100,1.0,100,1.0,0,1.0,0.0004105739999999969,243561.4529902058,0,101,1,10,0,101,0,101,0,101,1000,0.0004105739999999969,2435614.529902058
feat,dependent_record,1,500,500,500,1.0,500,1.0,0,1.0,0.0004105739999999969,1217807.264951029,6,169,2,10,2,139,1,121,3,304,1000,0.0004105739999999969,2435614.529902058
feat,dependent_record,1,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0004105739999999969,2435614.529902058,12,169,4,10,5,139,5,121,8,304,1000,0.0004105739999999969,2435614.529902058
feat,dependent_record,2,100,100,100,1.0,100,1.0,0,0.75,0.00043608200000022634,229314.67017659085,0,101,0,101,1,61,1,36,0,101,1000,0.00043608200000022634,2293146.7017659084
feat,dependent_record,2,500,500,500,1.0,500,1.0,0,1.0,0.00043608200000022634,1146573.3508829542,3,123,1,412,2,61,7,36,2,254,1000,0.00043608200000022634,2293146.7017659084
feat,dependent_record,2,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00043608200000022634,2293146.7017659084,5,123,3,412,5,61,8,36,8,254,1000,0.00043608200000022634,2293146.7017659084
